Date,Framework,MSE,MSLE,MAPE
07/08/2022 09:59:16,Keras,3.3734605153767916e-07,2.2040737235329289e-07,75.32270812988281
07/08/2022 10:33:23,QKeras,1.805661611342657e-07,1.3700980616704328e-07,25.226497650146484
07/08/2022 10:34:59,hls4ml,9.345457855616175e-07,,
07/08/2022 13:29:58,Keras,9.174035767500754e-06,8.963095751823857e-06,121.10809326171875
07/08/2022 13:31:10,Keras,1.2684481021096872e-07,9.914401744026691e-08,13.62907886505127
07/08/2022 13:44:20,QKeras,7.382834883173928e-05,4.1381859773537144e-05,100.40631866455078
07/08/2022 13:45:17,QKeras,1.9850980947921926e-07,1.2648689562411164e-07,59.95337677001953
07/08/2022 13:58:41,Keras,1.2684481021096872e-07,9.914401744026691e-08,13.62907886505127
07/08/2022 13:58:42,QKeras,1.9850980947921926e-07,1.2648689562411164e-07,59.95337677001953
07/08/2022 13:58:46,hls4ml,1.0534666231048874e-06,,
07/08/2022 14:11:51,hls4ml,1.0534666231048874e-06,,
07/08/2022 14:14:09,Keras,1.2684481021096872e-07,9.914401744026691e-08,13.62907886505127
07/08/2022 14:14:09,QKeras,1.9850980947921926e-07,1.2648689562411164e-07,59.95337677001953
07/08/2022 14:16:56,hls4ml,1.0534666231048874e-06,,
07/08/2022 14:17:25,hls4ml,5.073790307106225e-07,,
07/08/2022 14:18:46,hls4ml,1.9804475570248726e-07,,
07/08/2022 14:28:59,hls4ml,1.9804475570248726e-07,,
07/08/2022 14:29:27,hls4ml,1.9804533050762452e-07,,
07/08/2022 15:36:07,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:19:35,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:20:11,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:21:01,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:21:37,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:23:19,hls4ml,1.9804525376807732e-07,,
07/08/2022 17:25:35,hls4ml,1.9883607854580292e-07,,
07/08/2022 17:26:05,hls4ml,1.982126350150172e-07,,
07/08/2022 17:26:34,hls4ml,1.9820600202546327e-07,,
07/08/2022 17:27:15,hls4ml,0.0001395212546401192,,
07/08/2022 17:27:51,hls4ml,1.9806170495396567e-07,,
07/08/2022 17:28:22,hls4ml,1.9804507271629547e-07,,
07/08/2022 17:29:14,hls4ml,1.980913003670646e-07,,
07/08/2022 17:29:36,hls4ml,1.9806097364372778e-07,,
07/08/2022 17:32:54,hls4ml,1.980454296584937e-07,,
07/08/2022 17:33:49,hls4ml,1.9804413544813285e-07,,
07/08/2022 17:34:18,hls4ml,1.9804256493120785e-07,,
07/08/2022 17:34:55,hls4ml,1.9804256493120785e-07,,
07/08/2022 17:35:20,hls4ml,1.9801495365447131e-07,,
07/08/2022 17:36:10,hls4ml,1.9801495365447131e-07,,
07/08/2022 17:36:27,hls4ml,1.9800096739312828e-07,,
07/08/2022 18:04:16,Keras,1.2684481021096872e-07,9.914401744026691e-08,13.62907886505127
07/08/2022 18:04:17,QKeras,1.9850980947921926e-07,1.2648689562411164e-07,59.95337677001953
07/08/2022 18:16:34,hls4ml,1.9800096739312828e-07,,
07/08/2022 18:49:27,Keras,1.2684481021096872e-07,9.914401744026691e-08,13.62907886505127
07/08/2022 18:49:27,QKeras,1.9850980947921926e-07,1.2648689562411164e-07,59.95337677001953
07/08/2022 18:49:32,hls4ml,1.9800096739312828e-07,,
